    1 Sig Oct                21 08 46.4   -88 57 22    5.47         star F0III
    2                        22 45 29.2   -88 49 06    6.57         star F0IV
    3                        15 28 19.5   -88 07 59    6.48         star A0
    4 Tau Oct                23 28 04.0   -87 28 56    5.49         star K2III
    5 Chi Oct                18 54 46.9   -87 36 20    5.28         star K3III
    6                        17 15 59.4   -87 33 58    6.57         star G5III
    7                        06 46 59.2   -87 01 30    6.47         star F3V
    8                        17 00 58.5   -86 21 51    6.04         star A2V
    9 Ups Oct                22 31 37.5   -85 58 02    5.77         star K0III
   10                        12 25 37.7   -86 09 01    6.33         star K0III
   11 Kap Oct                13 40 55.7   -85 47 10    5.58         star A0
   12 Zet Oct                08 56 41.4   -85 39 46    5.42         star A8IV
   13                        03 42 32.3   -85 15 44    6.41  W      star B9IV
   14                        12 02 20.3   -85 37 53    6.05  W      star K3III
   15                        00 13 19.5   -84 59 39    5.77         star M0III
   16                        18 01 34.1   -85 12 52    6.45         star F5IV
   17                        21 32 04.2   -84 48 36    6.45         star K3III
   18                        01 37 28.2   -84 46 11    5.69         star G8III
    1 Sig Oct                21 08 46.4   -88 57 22    5.47         star F0III
    2                        22 45 29.2   -88 49 06    6.57         star F0IV
    3                        15 28 19.5   -88 07 59    6.48         star A0
    4 Tau Oct                23 28 04.0   -87 28 56    5.49         star K2III
    5 Chi Oct                18 54 46.9   -87 36 20    5.28         star K3III
    6                        17 15 59.4   -87 33 58    6.57         star G5III
    7                        06 46 59.2   -87 01 30    6.47         star F3V
    8                        17 00 58.5   -86 21 51    6.04         star A2V
    9 Ups Oct                22 31 37.5   -85 58 02    5.77         star K0III
   10                        12 25 37.7   -86 09 01    6.33         star K0III
   11 Kap Oct                13 40 55.7   -85 47 10    5.58         star A0
   12 Zet Oct                08 56 41.4   -85 39 46    5.42         star A8IV
   13                        03 42 32.3   -85 15 44    6.41  W      star B9IV
   14                        12 02 20.3   -85 37 53    6.05  W      star K3III
   15                        00 13 19.5   -84 59 39    5.77         star M0III
   16                        18 01 34.1   -85 12 52    6.45         star F5IV
   17                        21 32 04.2   -84 48 36    6.45         star K3III
   18                        01 37 28.2   -84 46 11    5.69         star G8III
   19 Iot Oct                12 54 58.8   -85 07 23    5.46  W      star K0III
   20                        05 30 14.1   -84 47 06    6.20         star B9IV
   21 Ome Oct                15 11 08.4   -84 47 14    5.91         star B9V
   22 Eta Oct                10 59 14.0   -84 35 37    6.19         star A1V
   23 Rho Oct                15 43 16.9   -84 27 54    5.57         star A2V
   24                        20 24 54.4   -83 18 37    6.17         star A0
   25 Del Oct                14 26 55.0   -83 40 03    4.32         star K2III
   26                        18 51 57.9   -83 18 58    7.16         star K1III
   27                        01 37 55.7   -82 58 29    5.87         star G2V
   28                        16 45 53.6   -83 14 19    6.57         star K4III
